"id","year","week","team","pts_for","opponent","pts_against"
20060601,2006,6,"Lude","118.32","Rades","86.98"
20060602,2006,6,"Rades","86.98","Lude","118.32"
20060611,2006,6,"Sarge","101.12","Benny","85.46"
20060612,2006,6,"Benny","85.46","Sarge","101.12"
20060621,2006,6,"Ost","103.22","Ceej","81.88"
20060622,2006,6,"Ceej","81.88","Ost","103.22"
20060631,2006,6,"Winks","103","Schingen","106.56"
20060632,2006,6,"Schingen","106.56","Winks","103"
20060641,2006,6,"Strand","95.64","Gresh","90.52"
20060642,2006,6,"Gresh","90.52","Strand","95.64"
20060651,2006,6,"Frank","107.5","Faber","109.6"
20060652,2006,6,"Faber","109.6","Frank","107.5"
20060701,2006,7,"Lude","107.38","Strand","113.3"
20060702,2006,7,"Strand","113.3","Lude","107.38"
20060711,2006,7,"Sarge","98.64","Rades","67.2"
20060712,2006,7,"Rades","67.2","Sarge","98.64"
20060721,2006,7,"Ost","83.12","Benny","117.82"
20060722,2006,7,"Benny","117.82","Ost","83.12"
20060731,2006,7,"Winks","94.96","Ceej","96.78"
20060732,2006,7,"Ceej","96.78","Winks","94.96"
20060741,2006,7,"Frank","83.82","Gresh","73.76"
20060742,2006,7,"Gresh","73.76","Frank","83.82"
20060751,2006,7,"Faber","83.56","Schingen","78.64"
20060752,2006,7,"Schingen","78.64","Faber","83.56"
20060801,2006,8,"Lude","107.64","Frank","97.4"
20060802,2006,8,"Frank","97.4","Lude","107.64"
20060811,2006,8,"Sarge","75.22","Strand","103.94"
20060812,2006,8,"Strand","103.94","Sarge","75.22"
20060821,2006,8,"Ost","100.54","Rades","61.78"
20060822,2006,8,"Rades","61.78","Ost","100.54"
20060831,2006,8,"Winks","69.36","Benny","129.64"
20060832,2006,8,"Benny","129.64","Winks","69.36"
20060841,2006,8,"Ceej","46.84","Schingen","81.24"
20060842,2006,8,"Schingen","81.24","Ceej","46.84"
20060851,2006,8,"Faber","69.08","Gresh","128.12"
20060852,2006,8,"Gresh","128.12","Faber","69.08"
20060901,2006,9,"Lude","96.14","Faber","113.36"
20060902,2006,9,"Faber","113.36","Lude","96.14"
20060911,2006,9,"Sarge","113.58","Frank","112.24"
20060912,2006,9,"Frank","112.24","Sarge","113.58"
20060921,2006,9,"Ost","88.82","Strand","58"
20060922,2006,9,"Strand","58","Ost","88.82"
20060931,2006,9,"Winks","104.86","Rades","92.14"
20060932,2006,9,"Rades","92.14","Winks","104.86"
20060941,2006,9,"Ceej","76.74","Benny","98.82"
20060942,2006,9,"Benny","98.82","Ceej","76.74"
20060951,2006,9,"Gresh","108.66","Schingen","41.44"
20060952,2006,9,"Schingen","41.44","Gresh","108.66"
20061001,2006,10,"Lude","71.98","Gresh","110.12"
20061002,2006,10,"Gresh","110.12","Lude","71.98"
20061011,2006,10,"Sarge","108.78","Faber","77.3"
20061012,2006,10,"Faber","77.3","Sarge","108.78"
20061021,2006,10,"Ost","104.84","Frank","103.04"
20061022,2006,10,"Frank","103.04","Ost","104.84"
20061031,2006,10,"Winks","48.64","Strand","128.2"
20061032,2006,10,"Strand","128.2","Winks","48.64"
20061041,2006,10,"Ceej","88.48","Rades","79.02"
20061042,2006,10,"Rades","79.02","Ceej","88.48"
20061051,2006,10,"Benny","75.88","Schingen","119.62"
20061052,2006,10,"Schingen","119.62","Benny","75.88"
20061101,2006,11,"Lude","64.52","Schingen","108.78"
20061102,2006,11,"Schingen","108.78","Lude","64.52"
20061111,2006,11,"Sarge","62.22","Gresh","80.4"
20061112,2006,11,"Gresh","80.4","Sarge","62.22"
20061121,2006,11,"Ost","86.28","Faber","40.08"
20061122,2006,11,"Faber","40.08","Ost","86.28"
20061131,2006,11,"Winks","66.26","Frank","109.46"
20061132,2006,11,"Frank","109.46","Winks","66.26"
20061141,2006,11,"Ceej","66.22","Strand","117"
20061142,2006,11,"Strand","117","Ceej","66.22"
20061151,2006,11,"Benny","64.18","Rades","78.16"
20061152,2006,11,"Rades","78.16","Benny","64.18"
20061201,2006,12,"Lude","96.58","Sarge","115.14"
20061202,2006,12,"Sarge","115.14","Lude","96.58"
20061211,2006,12,"Ost","74.86","Gresh","117.36"
20061212,2006,12,"Gresh","117.36","Ost","74.86"
20061221,2006,12,"Winks","122.66","Faber","78.44"
20061222,2006,12,"Faber","78.44","Winks","122.66"
20061231,2006,12,"Ceej","92.74","Frank","91.38"
20061232,2006,12,"Frank","91.38","Ceej","92.74"
20061241,2006,12,"Benny","103.16","Strand","104.8"
20061242,2006,12,"Strand","104.8","Benny","103.16"
20061251,2006,12,"Rades","92.72","Schingen","59.72"
20061252,2006,12,"Schingen","59.72","Rades","92.72"
20061301,2006,13,"Lude","89.46","Ost","85.88"
20061302,2006,13,"Ost","85.88","Lude","89.46"
20061311,2006,13,"Sarge","82.36","Schingen","65.2"
20061312,2006,13,"Schingen","65.2","Sarge","82.36"
20061321,2006,13,"Winks","82.4","Gresh","73.04"
20061322,2006,13,"Gresh","73.04","Winks","82.4"
20061331,2006,13,"Ceej","67.22","Faber","113.38"
20061332,2006,13,"Faber","113.38","Ceej","67.22"
20061341,2006,13,"Benny","95.18","Frank","76.24"
20061342,2006,13,"Frank","76.24","Benny","95.18"
20061351,2006,13,"Rades","81.98","Strand","102.76"
20061352,2006,13,"Strand","102.76","Rades","81.98"
20070101,2007,1,"Lude","92.26","Ost","82.74"
20070102,2007,1,"Ost","82.74","Lude","92.26"
20070111,2007,1,"Faber","77.42","Schingen","57.5"
20070112,2007,1,"Schingen","57.5","Faber","77.42"
20070121,2007,1,"Sarge","117.38","Rades","142.46"
20070122,2007,1,"Rades","142.46","Sarge","117.38"
20070131,2007,1,"Winks","105.6","Benny","57.78"
20070132,2007,1,"Benny","57.78","Winks","105.6"
20070141,2007,1,"Ceej","67.18","Strand","62.06"
20070142,2007,1,"Strand","62.06","Ceej","67.18"
20070151,2007,1,"Gresh","132.88","Frank","118.64"
20070152,2007,1,"Frank","118.64","Gresh","132.88"
20070201,2007,2,"Lude","118.3","Faber","73.78"
20070202,2007,2,"Faber","73.78","Lude","118.3"
20070211,2007,2,"Ost","83.44","Frank","127.18"
20070212,2007,2,"Frank","127.18","Ost","83.44"
20070221,2007,2,"Sarge","124.46","Schingen","110.26"
20070222,2007,2,"Schingen","110.26","Sarge","124.46"
20070231,2007,2,"Winks","102.44","Rades","69.96"
20070232,2007,2,"Rades","69.96","Winks","102.44"
20070241,2007,2,"Ceej","74.66","Benny","107.8"
20070242,2007,2,"Benny","107.8","Ceej","74.66"
20070251,2007,2,"Gresh","144.52","Strand","134.44"
20070252,2007,2,"Strand","134.44","Gresh","144.52"
20070301,2007,3,"Lude","118.44","Sarge","97.64"
20070302,2007,3,"Sarge","97.64","Lude","118.44"
20070311,2007,3,"Ost","91.76","Faber","105.62"
20070312,2007,3,"Faber","105.62","Ost","91.76"
20070321,2007,3,"Winks","73.56","Schingen","91.14"
20070322,2007,3,"Schingen","91.14","Winks","73.56"
20070331,2007,3,"Ceej","114.46","Rades","99.48"
20070332,2007,3,"Rades","99.48","Ceej","114.46"
20070341,2007,3,"Gresh","115.42","Benny","112.7"
